BlockId,2013 CrimeCount,2014 CrimeCount,2015 CrimeCount,2016 CrimeCount,2017 CrimeCount,2018 CrimeCount,2019 CrimeCount,Total CrimeCount
0,513.0,559.0,850.0,1027.0,751.0,477.0,661.0,4838.0
1,8.0,12.0,15.0,15.0,12.0,9.0,11.0,82.0
2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
3,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0
4,0.0,3.0,2.0,6.0,2.0,0.0,1.0,14.0
5,1.0,1.0,0.0,1.0,1.0,1.0,3.0,8.0
6,0.0,1.0,1.0,5.0,0.0,0.0,1.0,8.0
7,2.0,2.0,4.0,2.0,3.0,0.0,3.0,16.0
8,2.0,1.0,3.0,3.0,5.0,3.0,1.0,18.0
9,0.0,4.0,6.0,7.0,2.0,0.0,1.0,20.0
10,9.0,8.0,15.0,18.0,14.0,11.0,14.0,89.0
11,5.0,7.0,16.0,15.0,9.0,4.0,16.0,72.0
12,2.0,6.0,4.0,4.0,5.0,1.0,4.0,26.0
13,2.0,4.0,9.0,9.0,5.0,1.0,6.0,36.0
14,15.0,17.0,28.0,43.0,29.0,21.0,23.0,176.0
15,3.0,8.0,11.0,14.0,12.0,5.0,9.0,62.0
16,10.0,4.0,14.0,18.0,11.0,6.0,13.0,76.0
17,10.0,12.0,19.0,20.0,17.0,11.0,17.0,106.0
18,19.0,18.0,23.0,22.0,23.0,13.0,13.0,131.0
19,0.0,4.0,7.0,4.0,6.0,2.0,1.0,24.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3.0,7.0,15.0,11.0,13.0,5.0,4.0,58.0
22,8.0,5.0,8.0,11.0,7.0,2.0,17.0,58.0
23,4.0,3.0,4.0,7.0,4.0,1.0,6.0,29.0
24,3.0,1.0,3.0,7.0,3.0,4.0,5.0,26.0
25,5.0,7.0,7.0,19.0,6.0,6.0,10.0,60.0
26,6.0,2.0,5.0,5.0,5.0,4.0,2.0,29.0
27,3.0,3.0,9.0,10.0,4.0,3.0,8.0,40.0
28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,3.0,5.0,4.0,8.0,5.0,4.0,11.0,40.0
30,5.0,4.0,8.0,11.0,6.0,6.0,13.0,53.0
31,4.0,2.0,9.0,13.0,3.0,5.0,4.0,40.0
32,9.0,9.0,13.0,14.0,15.0,4.0,3.0,67.0
33,4.0,2.0,2.0,6.0,6.0,5.0,3.0,28.0
34,52.0,33.0,59.0,61.0,65.0,15.0,43.0,328.0
35,4.0,9.0,5.0,11.0,4.0,4.0,4.0,41.0
36,20.0,15.0,30.0,43.0,37.0,16.0,34.0,195.0
37,1.0,3.0,5.0,2.0,2.0,2.0,2.0,17.0
38,1.0,3.0,4.0,4.0,5.0,1.0,4.0,22.0
39,4.0,10.0,10.0,3.0,9.0,7.0,2.0,45.0
40,7.0,4.0,10.0,8.0,3.0,4.0,7.0,43.0
41,18.0,13.0,21.0,30.0,20.0,6.0,8.0,116.0
42,1.0,3.0,3.0,2.0,1.0,1.0,0.0,11.0
43,3.0,3.0,2.0,7.0,3.0,2.0,0.0,20.0
44,2.0,0.0,1.0,1.0,2.0,2.0,5.0,13.0
45,0.0,0.0,4.0,2.0,2.0,2.0,3.0,13.0
46,6.0,6.0,7.0,2.0,13.0,2.0,3.0,39.0
47,21.0,45.0,44.0,56.0,50.0,11.0,35.0,262.0
48,2.0,3.0,1.0,3.0,0.0,2.0,3.0,14.0
49,3.0,4.0,4.0,4.0,3.0,6.0,2.0,26.0
50,9.0,6.0,15.0,15.0,16.0,4.0,12.0,77.0
